ID,AMBITO_NOMBRE,EMBALSE_NOMBRE,AGUA_TOTAL,ELECTRICO_FLAG
241,CUENCA MEDITERRÁNEA ANDALUZA,LIMONERO,25.0,0
242,CUENCA MEDITERRÁNEA ANDALUZA,GUADARRANQUE,88.0,0
246,GUADIANA,TENTUDIA,5.0,0
247,MIÑO - SIL,BELESAR,655.0,1
249,DUERO,ALMENDRA,2649.0,1
250,DUERO,CERVERA,11.0,0
251,DUERO,SAN JOSE,6.0,0
254,TAJO,BOLARQUE,31.0,1
255,TAJO,BUENDIA,1705.0,0
256,TAJO,GUIJO DE GRANADILLA,13.0,1
257,TAJO,EL VILLAR,23.0,0
258,TAJO,VALMAYOR,124.0,0
261,EBRO,IRABIA,14.0,1
262,EBRO,EL GRADO,400.0,0
264,EBRO,MONTEAGUDO,10.0,0
265,EBRO,RIALB,404.0,0
266,EBRO,SANTA ANA,237.0,0
267,EBRO,SAN LORENZO,10.0,1
273,CANTÁBRICO OCCIDENTAL,ARBON,41.0,1
277,GUADALQUIVIR,DERIVACION RETORTILLO,8.0,0
283,GUADALQUIVIR,GUILLENA,5.0,1
285,GUADALQUIVIR,NEGRATIN,571.0,0
286,GUADALQUIVIR,VILLAFRANCA,6.0,0
287,GUADALQUIVIR,VIBORAS,19.0,0
288,CUENCA MEDITERRÁNEA ANDALUZA,CONCEPCION,62.0,0
292,GUADIANA,ALCOLLARIN,52.0,0
296,GUADIANA,PIEDRA AGUDA,16.0,0
300,TINTO. ODIEL Y PIEDRAS,JARRAMA,43.0,0
301,MIÑO - SIL,SALAS,87.0,1
303,DUERO,PUENTE PORTO,23.0,1
304,TAJO,EL ATAZAR,426.0,0
306,SEGURA,ALFONSO XIII,22.0,0
307,SEGURA,CREVILLENTE,13.0,0
309,JÚCAR,LORIGUILLA,73.0,0
311,EBRO,BASERCA,22.0,1
312,EBRO,CERTESCANS,16.0,1
313,EBRO,IP,5.0,1
314,EBRO,MAR (LAGO),14.0,1
316,GALICIA COSTA,STA UXIA,18.0,1
318,CUENCAS INTERNAS DE CATALUÑA,LA BAELLS,115.0,0
319,CUENCAS INTERNAS DEL PAÍS VASCO,IBAI-EDER,11.0,0
324,CUENCA MEDITERRÁNEA ANDALUZA,BENINAR,70.0,0
325,GUADALQUIVIR,VADOMOJON,163.0,0
326,CUENCA MEDITERRÁNEA ANDALUZA,CHARCO REDONDO,82.0,0
328,GUADALETE-BARBATE,GUADALCACIN II,800.0,0
329,GUADIANA,CANCHO DEL FRESNO,15.0,0
330,GUADIANA,CASTILSERAS,5.0,0
333,GUADIANA,RUECAS,44.0,0
336,GUADIANA,SIERRA BRAVA,233.0,0
337,GUADIANA,VILLALBA DE LOS BARROS,106.0,0
339,MIÑO - SIL,PENARRUBIA,13.0,1
341,MIÑO - SIL,LAS ROZAS,28.0,1
342,DUERO,Na Sa DE AGAVANZAL,36.0,1
343,DUERO,EL PONTON ALTO,7.0,0
348,TAJO,ALCANTARA,3162.0,1
350,TAJO,SANTILLANA,91.0,0
351,TAJO,SAN JUAN,148.0,0
352,JÚCAR,BUSEO,8.0,0
355,EBRO,ESCARRA,5.0,1
356,EBRO,RESPOMUSO,18.0,1
357,EBRO,SISTEMA AGUAS LIMPIAS,18.0,1
359,EBRO,SANTOLEA,65.0,0
360,EBRO,URDICETO,5.0,1
362,GALICIA COSTA,AS FORCADAS,11.0,0
367,GUADALQUIVIR,BEMBEZAR,347.0,0
369,GUADALQUIVIR,CORDOBILLA,34.0,0
371,GUADALQUIVIR,JOSE TORAN,113.0,0
374,GUADIANA,ALANGE,880.0,0
375,GUADALETE-BARBATE,LOS HURONES,135.0,0
376,GUADIANA,ANDEVALO,634.0,0
377,GUADIANA,GARCIA DE SOLA,554.0,0
381,GUADIANA,VALUENGO,20.0,0
382,MIÑO - SIL,GUISTOLAS,5.0,1
383,MIÑO - SIL,SAN MARTINO,10.0,1
384,MIÑO - SIL,SANTA EULALIA,10.0,1
387,DUERO,VILLAMECA,20.0,0
388,TAJO,FINISTERRE,133.0,0
389,TAJO,PINILLA,38.0,0
390,SEGURA,SANTOMERA,26.0,0
391,EBRO,CIURANA,12.0,0
392,EBRO,GUIAMETS,10.0,0
395,EBRO,LOTETA (LA),104.0,0
396,EBRO,PAJARES,,0
397,EBRO,LA PENA,15.0,0
398,EBRO,VADIELLO,16.0,0
400,CANTÁBRICO OCCIDENTAL,LA COHILLA,12.0,1
401,CANTÁBRICO OCCIDENTAL,SALIME,266.0,1
402,GUADALQUIVIR,BERMEJALES,103.0,0
403,GUADALQUIVIR,LA BRENA II,823.0,0
404,GUADALQUIVIR,ENCINAREJO,15.0,1
405,GUADALQUIVIR,EL PORTILLO,33.0,0
408,GUADALQUIVIR,GIRIBAILE,491.0,0
409,GUADALQUIVIR,JANDULA,325.0,0
413,GUADALQUIVIR,SAN CLEMENTE,120.0,0
418,GUADIANA,BROVALES,7.0,0
